id,team_name,round,match_date,year,home_away,opponent,team_quarter_scores,team_score,opponent_quarter_scores,opponent_score,result,margin,venue,crowd,team_goals_kicked,team_behinds,opponent_goals_kicked,opponent_behinds
15807,hawthorn hawks,QF,1994-09-10,1994,A,north melbourne kangaroos,4.5 5.7 10.11 13.13 13.13 13.13,91,2.3 6.12 9.12 12.19 13.23 15.24,114,L,23,Waverley Park,38223.0,13,13,15,24
15808,north melbourne kangaroos,QF,1994-09-10,1994,H,hawthorn hawks,2.3 6.12 9.12 12.19 13.23 15.24,114,4.5 5.7 10.11 13.13 13.13 13.13,91,W,6,Waverley Park,38223.0,15,24,13,13
5646,north melbourne kangaroos,10,2008-05-31,2008,A,brisbane lions,2.2 6.2 12.3 15.8,98,4.7 11.12 15.17 18.21,129,L,-31,The Gabba,22118.0,15,8,18,21
8829,sydney swans,15,2017-06-30,2017,A,melbourne demons,1.8 5.15 8.16 11.19,85,4.0 4.1 5.4 7.8,50,W,35,Melbourne Cricket Ground,47464.0,11,19,7,8
8873,sydney swans,11,2019-06-01,2019,A,geelong cats,3.3 5.8 6.12 8.15,63,5.1 7.2 11.4 13.7,85,L,-22,GMHBA Stadium,29021.0,8,15,13,7
8874,sydney swans,12,2019-06-09,2019,H,west coast eagles,4.1 9.6 14.7 18.8,116,3.2 6.3 7.8 10.11,71,W,45,Sydney Cricket Ground,36640.0,18,8,10,11
9626,western bulldogs,7,2000-04-22,2000,A,hawthorn hawks,1.2 6.5 10.5 14.8,92,4.3 9.5 13.8 19.9,123,L,-31,Melbourne Cricket Ground,29405.0,14,8,19,9
9627,western bulldogs,8,2000-04-29,2000,A,west coast eagles,3.7 9.9 11.12 15.12,102,4.6 8.9 9.15 15.18,108,L,-6,WACA,26554.0,15,12,15,18
9628,western bulldogs,9,2000-05-05,2000,H,st kilda saints,3.5 9.5 10.7 16.9,105,4.1 7.5 15.8 16.8,104,W,1,Marvel Stadium,35505.0,16,9,16,8
9629,western bulldogs,10,2000-05-14,2000,A,sydney swans,6.2 13.4 18.9 21.11,137,5.1 8.4 11.5 12.7,79,W,58,Sydney Cricket Ground,18817.0,21,11,12,7
