feature,coef
capital-gain,2.4035188586699285
net_capital,2.375557078026472
cap_gain_flag,-2.0399481703898195
marital-status_Married-AF-spouse,1.5780353342798408
marital-status_Married-civ-spouse,1.5111275679455822
age_bucket_<25,-1.4405095057260073
native-country_Columbia,-1.3749523775296613
native-country_Ireland,1.1216176928756063
hours_bin_part_time,-1.1050960654665878
marital-status_Never-married,-1.0862661224603396
native-country_South,-1.0346677026645716
occupation_Priv-house-serv,-1.0042920989598998
native-country_Dominican-Republic,-0.91711847985869
marital-status_Separated,-0.8920968166458549
marital-status_Divorced,-0.8635323480218773
education-num,0.86315335255599
occupation_Farming-fishing,-0.8471798277462428
relationship_Wife,0.828834899921981
native-country_France,0.8120639181012156
native-country_Vietnam,-0.7838023364091063
relationship_Other-relative,-0.7768049556271643
occupation_Other-service,-0.7690558052226544
sex_Female,-0.766872258553696
native-country_Portugal,0.7508161502263367
occupation_Exec-managerial,0.7167773253547851
native-country_Italy,0.7107289950792446
native-country_Cambodia,0.6983822433820865
relationship_Own-child,-0.69515736288263
native-country_England,0.6775471221460466
native-country_Yugoslavia,0.6483217027130811
marital-status_Married-spouse-absent,-0.6385169372537305
native-country_Canada,0.6382580072555161
occupation_Handlers-cleaners,-0.6188448867713434
occupation_Tech-support,0.5661063077309575
native-country_Peru,-0.5655110329136243
race_Amer-Indian-Eskimo,-0.5580349230263629
occupation_Protective-serv,0.5468987701240329
education_Preschool,-0.5282442400520726
native-country_Trinadad&Tobago,-0.5228952443263553
native-country_China,-0.5141936038366336
native-country_Mexico,-0.49938944478257385
age_bucket_45-54,0.48189935293501124
native-country_Laos,-0.4782529167782866
workclass_Self-emp-not-inc,-0.4604941694224467
marital-status_Widowed,-0.4601967188086097
native-country_El-Salvador,-0.45910170021108065
native-country_Hungary,0.446033195609531
native-country_Scotland,-0.4448362193131281
native-country_Jamaica,0.43072972617512123
education_Assoc-acdm,-0.415454213883284
