match_id,season,round,match_date,venue,home_team,away_team,home_score,away_score,crowd,margin,result,home_win
19830326_MelbourneDemons,1983,1,1983-03-26,Melbourne Cricket Ground,Melbourne Demons,Collingwood Magpies,125,135,72274.0,-10,A,0.0
19830326_CarltonBlues,1983,1,1983-03-26,Princes Park,Carlton Blues,Richmond Tigers,136,76,28498.0,60,H,1.0
19830326_FitzroyLions,1983,1,1983-03-26,Junction Oval,Fitzroy Lions,Hawthorn Hawks,112,131,15626.0,-19,A,0.0
19830326_NorthMelbourneKangaroos,1983,1,1983-03-26,Aegis Park,North Melbourne Kangaroos,St Kilda Saints,100,87,18496.0,13,H,1.0
19830326_GeelongCats,1983,1,1983-03-26,Waverley Park,Geelong Cats,Western Bulldogs,106,75,18377.0,31,H,1.0
19830327_SydneySwans,1983,1,1983-03-27,Sydney Cricket Ground,Sydney Swans,Essendon Bombers,111,110,11916.0,1,H,1.0
19830402_RichmondTigers,1983,2,1983-04-02,Melbourne Cricket Ground,Richmond Tigers,Melbourne Demons,100,119,41889.0,-19,A,0.0
19830402_CollingwoodMagpies,1983,2,1983-04-02,Victoria Park,Collingwood Magpies,Geelong Cats,96,101,34751.0,-5,A,0.0
19830402_WesternBulldogs,1983,2,1983-04-02,Western Oval,Western Bulldogs,Carlton Blues,99,82,20414.0,17,H,1.0
19830404_EssendonBombers,1983,2,1983-04-04,Windy Hill,Essendon Bombers,St Kilda Saints,131,70,28071.0,61,H,1.0
19830404_NorthMelbourneKangaroos,1983,2,1983-04-04,Waverley Park,North Melbourne Kangaroos,Fitzroy Lions,43,88,23788.0,-45,A,0.0
19830404_HawthornHawks,1983,2,1983-04-04,Princes Park,Hawthorn Hawks,Sydney Swans,70,45,16295.0,25,H,1.0
19830409_StKildaSaints,1983,3,1983-04-09,Moorabbin Oval,St Kilda Saints,Hawthorn Hawks,42,171,19227.0,-129,A,0.0
19830409_WesternBulldogs,1983,3,1983-04-09,Western Oval,Western Bulldogs,Melbourne Demons,111,79,20485.0,32,H,1.0
19830409_CarltonBlues,1983,3,1983-04-09,Waverley Park,Carlton Blues,Collingwood Magpies,97,87,69596.0,10,H,1.0
19830409_FitzroyLions,1983,3,1983-04-09,Junction Oval,Fitzroy Lions,Essendon Bombers,97,56,21478.0,41,H,1.0
19830409_GeelongCats,1983,3,1983-04-09,GMHBA Stadium,Geelong Cats,Richmond Tigers,94,46,21269.0,48,H,1.0
19830410_SydneySwans,1983,3,1983-04-10,Sydney Cricket Ground,Sydney Swans,North Melbourne Kangaroos,45,185,11831.0,-140,A,0.0
19830416_MelbourneDemons,1983,4,1983-04-16,Melbourne Cricket Ground,Melbourne Demons,Carlton Blues,90,99,38544.0,-9,A,0.0
19830416_HawthornHawks,1983,4,1983-04-16,Princes Park,Hawthorn Hawks,Western Bulldogs,97,118,16504.0,-21,A,0.0
19830416_EssendonBombers,1983,4,1983-04-16,Windy Hill,Essendon Bombers,Collingwood Magpies,141,117,28250.0,24,H,1.0
19830416_NorthMelbourneKangaroos,1983,4,1983-04-16,Aegis Park,North Melbourne Kangaroos,Richmond Tigers,127,103,14970.0,24,H,1.0
19830416_FitzroyLions,1983,4,1983-04-16,Junction Oval,Fitzroy Lions,Sydney Swans,125,52,10738.0,73,H,1.0
19830416_StKildaSaints,1983,4,1983-04-16,Waverley Park,St Kilda Saints,Geelong Cats,79,90,20826.0,-11,A,0.0
19830423_CollingwoodMagpies,1983,5,1983-04-23,Victoria Park,Collingwood Magpies,Hawthorn Hawks,73,95,28506.0,-22,A,0.0
19830423_CarltonBlues,1983,5,1983-04-23,Princes Park,Carlton Blues,Fitzroy Lions,65,125,25789.0,-60,A,0.0
19830424_SydneySwans,1983,5,1983-04-24,Sydney Cricket Ground,Sydney Swans,St Kilda Saints,160,137,11276.0,23,H,1.0
19830425_RichmondTigers,1983,5,1983-04-25,Melbourne Cricket Ground,Richmond Tigers,Western Bulldogs,114,116,51651.0,-2,A,0.0
19830425_GeelongCats,1983,5,1983-04-25,GMHBA Stadium,Geelong Cats,Melbourne Demons,110,121,28591.0,-11,A,0.0
19830425_EssendonBombers,1983,5,1983-04-25,Waverley Park,Essendon Bombers,North Melbourne Kangaroos,128,123,47722.0,5,H,1.0
19830430_CollingwoodMagpies,1983,6,1983-04-30,Victoria Park,Collingwood Magpies,North Melbourne Kangaroos,130,108,28315.0,22,H,1.0
19830430_CarltonBlues,1983,6,1983-04-30,Princes Park,Carlton Blues,Geelong Cats,85,95,25480.0,-10,A,0.0
19830430_MelbourneDemons,1983,6,1983-04-30,Melbourne Cricket Ground,Melbourne Demons,Sydney Swans,126,93,22590.0,33,H,1.0
19830430_HawthornHawks,1983,6,1983-04-30,Waverley Park,Hawthorn Hawks,Richmond Tigers,88,106,33096.0,-18,A,0.0
19830430_EssendonBombers,1983,6,1983-04-30,Windy Hill,Essendon Bombers,Western Bulldogs,181,49,26387.0,132,H,1.0
19830430_StKildaSaints,1983,6,1983-04-30,Moorabbin Oval,St Kilda Saints,Fitzroy Lions,102,143,16154.0,-41,A,0.0
19830507_FitzroyLions,1983,7,1983-05-07,Junction Oval,Fitzroy Lions,Geelong Cats,76,67,18770.0,9,H,1.0
19830507_HawthornHawks,1983,7,1983-05-07,Princes Park,Hawthorn Hawks,North Melbourne Kangaroos,91,142,13958.0,-51,A,0.0
19830507_WesternBulldogs,1983,7,1983-05-07,Western Oval,Western Bulldogs,Collingwood Magpies,82,88,31479.0,-6,A,0.0
19830507_RichmondTigers,1983,7,1983-05-07,Melbourne Cricket Ground,Richmond Tigers,Essendon Bombers,112,137,49707.0,-25,A,0.0
19830507_MelbourneDemons,1983,7,1983-05-07,Waverley Park,Melbourne Demons,St Kilda Saints,108,75,25192.0,33,H,1.0
19830508_SydneySwans,1983,7,1983-05-08,Sydney Cricket Ground,Sydney Swans,Carlton Blues,118,149,15432.0,-31,A,0.0
19830514_MelbourneDemons,1983,8,1983-05-14,Melbourne Cricket Ground,Melbourne Demons,Fitzroy Lions,87,126,33758.0,-39,A,0.0
19830514_CollingwoodMagpies,1983,8,1983-05-14,Waverley Park,Collingwood Magpies,Richmond Tigers,107,59,58780.0,48,H,1.0
19830514_HawthornHawks,1983,8,1983-05-14,Princes Park,Hawthorn Hawks,Essendon Bombers,137,95,21835.0,42,H,1.0
19830514_GeelongCats,1983,8,1983-05-14,GMHBA Stadium,Geelong Cats,Sydney Swans,84,110,17650.0,-26,A,0.0
19830514_StKildaSaints,1983,8,1983-05-14,Moorabbin Oval,St Kilda Saints,Carlton Blues,89,145,19016.0,-56,A,0.0
19830514_NorthMelbourneKangaroos,1983,8,1983-05-14,Aegis Park,North Melbourne Kangaroos,Western Bulldogs,189,74,15556.0,115,H,1.0
19830521_FitzroyLions,1983,9,1983-05-21,Waverley Park,Fitzroy Lions,Western Bulldogs,99,145,22336.0,-46,A,0.0
19830521_GeelongCats,1983,9,1983-05-21,GMHBA Stadium,Geelong Cats,North Melbourne Kangaroos,84,124,21802.0,-40,A,0.0
19830521_EssendonBombers,1983,9,1983-05-21,Windy Hill,Essendon Bombers,Melbourne Demons,149,115,19955.0,34,H,1.0
19830521_CarltonBlues,1983,9,1983-05-21,Princes Park,Carlton Blues,Hawthorn Hawks,104,96,30660.0,8,H,1.0
19830521_StKildaSaints,1983,9,1983-05-21,Moorabbin Oval,St Kilda Saints,Richmond Tigers,108,93,20686.0,15,H,1.0
19830522_SydneySwans,1983,9,1983-05-22,Sydney Cricket Ground,Sydney Swans,Collingwood Magpies,121,100,15305.0,21,H,1.0
19830528_CollingwoodMagpies,1983,10,1983-05-28,Victoria Park,Collingwood Magpies,Fitzroy Lions,77,93,32820.0,-16,A,0.0
19830528_WesternBulldogs,1983,10,1983-05-28,Western Oval,Western Bulldogs,St Kilda Saints,128,82,19247.0,46,H,1.0
19830528_NorthMelbourneKangaroos,1983,10,1983-05-28,Aegis Park,North Melbourne Kangaroos,Carlton Blues,193,82,23425.0,111,H,1.0
19830528_RichmondTigers,1983,10,1983-05-28,Melbourne Cricket Ground,Richmond Tigers,Sydney Swans,106,94,21047.0,12,H,1.0
19830528_MelbourneDemons,1983,10,1983-05-28,Waverley Park,Melbourne Demons,Hawthorn Hawks,109,171,23989.0,-62,A,0.0
19830528_EssendonBombers,1983,10,1983-05-28,Windy Hill,Essendon Bombers,Geelong Cats,109,97,20793.0,12,H,1.0
19830604_CarltonBlues,1983,11,1983-06-04,Waverley Park,Carlton Blues,Essendon Bombers,101,126,60619.0,-25,A,0.0
19830604_MelbourneDemons,1983,11,1983-06-04,Melbourne Cricket Ground,Melbourne Demons,North Melbourne Kangaroos,125,139,25249.0,-14,A,0.0
19830604_StKildaSaints,1983,11,1983-06-04,Moorabbin Oval,St Kilda Saints,Collingwood Magpies,144,160,25153.0,-16,A,0.0
19830604_FitzroyLions,1983,11,1983-06-04,Junction Oval,Fitzroy Lions,Richmond Tigers,136,114,16153.0,22,H,1.0
19830604_HawthornHawks,1983,11,1983-06-04,Princes Park,Hawthorn Hawks,Geelong Cats,88,95,13482.0,-7,A,0.0
19830605_SydneySwans,1983,11,1983-06-05,Sydney Cricket Ground,Sydney Swans,Western Bulldogs,121,102,10710.0,19,H,1.0
19830611_StKildaSaints,1983,12,1983-06-11,Moorabbin Oval,St Kilda Saints,North Melbourne Kangaroos,104,135,16467.0,-31,A,0.0
19830611_HawthornHawks,1983,12,1983-06-11,Princes Park,Hawthorn Hawks,Fitzroy Lions,167,134,20708.0,33,H,1.0
19830611_EssendonBombers,1983,12,1983-06-11,Windy Hill,Essendon Bombers,Sydney Swans,156,83,20012.0,73,H,1.0
19830613_CollingwoodMagpies,1983,12,1983-06-13,Waverley Park,Collingwood Magpies,Melbourne Demons,87,68,55380.0,19,H,1.0
19830613_WesternBulldogs,1983,12,1983-06-13,Western Oval,Western Bulldogs,Geelong Cats,102,91,25382.0,11,H,1.0
19830613_RichmondTigers,1983,12,1983-06-13,Melbourne Cricket Ground,Richmond Tigers,Carlton Blues,141,91,48243.0,50,H,1.0
19830618_MelbourneDemons,1983,13,1983-06-18,Melbourne Cricket Ground,Melbourne Demons,Richmond Tigers,123,109,28468.0,14,H,1.0
19830618_StKildaSaints,1983,13,1983-06-18,Waverley Park,St Kilda Saints,Essendon Bombers,91,138,30616.0,-47,A,0.0
19830618_GeelongCats,1983,13,1983-06-18,GMHBA Stadium,Geelong Cats,Collingwood Magpies,101,85,25808.0,16,H,1.0
19830618_FitzroyLions,1983,13,1983-06-18,Junction Oval,Fitzroy Lions,North Melbourne Kangaroos,220,70,19770.0,150,H,1.0
19830618_CarltonBlues,1983,13,1983-06-18,Princes Park,Carlton Blues,Western Bulldogs,171,82,23701.0,89,H,1.0
19830619_SydneySwans,1983,13,1983-06-19,Sydney Cricket Ground,Sydney Swans,Hawthorn Hawks,78,110,10084.0,-32,A,0.0
19830625_MelbourneDemons,1983,14,1983-06-25,Melbourne Cricket Ground,Melbourne Demons,Western Bulldogs,99,85,19306.0,14,H,1.0
