team,opponent,match_date,season,venue,is_home,team_score,opp_score,win,draw,margin,points
Adelaide Crows,Hawthorn Hawks,1991-03-22,1991,AAMI Stadium,True,155,69,1,0,86,4
Adelaide Crows,Carlton Blues,1991-03-31,1991,AAMI Stadium,True,81,104,0,0,-23,0
Adelaide Crows,Sydney Swans,1991-04-07,1991,Sydney Cricket Ground,False,132,108,1,0,24,4
Adelaide Crows,Essendon Bombers,1991-04-13,1991,Windy Hill,False,47,92,0,0,-45,0
Adelaide Crows,West Coast Eagles,1991-04-21,1991,Domain Stadium,False,65,130,0,0,-65,0
Adelaide Crows,Western Bulldogs,1991-04-28,1991,AAMI Stadium,True,128,97,1,0,31,4
Adelaide Crows,St Kilda Saints,1991-05-04,1991,Moorabbin Oval,False,31,162,0,0,-131,0
Adelaide Crows,North Melbourne Kangaroos,1991-05-17,1991,Melbourne Cricket Ground,False,118,120,0,0,-2,0
Adelaide Crows,Melbourne Demons,1991-05-24,1991,AAMI Stadium,True,106,72,1,0,34,4
Adelaide Crows,Geelong Cats,1991-06-01,1991,GMHBA Stadium,False,93,177,0,0,-84,0
Adelaide Crows,Fitzroy Lions,1991-06-09,1991,AAMI Stadium,True,50,47,1,0,3,4
Adelaide Crows,Richmond Tigers,1991-06-15,1991,Melbourne Cricket Ground,False,85,47,1,0,38,4
Adelaide Crows,Brisbane Bears,1991-06-23,1991,AAMI Stadium,True,156,90,1,0,66,4
Adelaide Crows,Collingwood Magpies,1991-06-29,1991,Victoria Park,False,37,160,0,0,-123,0
Adelaide Crows,Hawthorn Hawks,1991-07-06,1991,Waverley Park,False,95,158,0,0,-63,0
Adelaide Crows,Carlton Blues,1991-07-13,1991,Princes Park,False,55,48,1,0,7,4
Adelaide Crows,Sydney Swans,1991-07-21,1991,AAMI Stadium,True,118,122,0,0,-4,0
Adelaide Crows,Essendon Bombers,1991-07-28,1991,AAMI Stadium,True,108,81,1,0,27,4
Adelaide Crows,West Coast Eagles,1991-08-04,1991,AAMI Stadium,True,80,95,0,0,-15,0
Adelaide Crows,Western Bulldogs,1991-08-10,1991,Western Oval,False,40,64,0,0,-24,0
Adelaide Crows,St Kilda Saints,1991-08-16,1991,AAMI Stadium,True,81,132,0,0,-51,0
Adelaide Crows,North Melbourne Kangaroos,1991-09-01,1991,AAMI Stadium,True,180,107,1,0,73,4
Adelaide Crows,Western Bulldogs,1992-03-22,1992,AAMI Stadium,True,87,114,0,0,-27,0
Adelaide Crows,Melbourne Demons,1992-04-04,1992,Princes Park,False,104,95,1,0,9,4
Adelaide Crows,Fitzroy Lions,1992-04-11,1992,Princes Park,False,97,130,0,0,-33,0
Adelaide Crows,Richmond Tigers,1992-04-19,1992,AAMI Stadium,True,151,117,1,0,34,4
Adelaide Crows,Brisbane Bears,1992-04-26,1992,AAMI Stadium,True,134,74,1,0,60,4
Adelaide Crows,St Kilda Saints,1992-05-02,1992,Moorabbin Oval,False,65,139,0,0,-74,0
Adelaide Crows,Geelong Cats,1992-05-09,1992,GMHBA Stadium,False,87,210,0,0,-123,0
Adelaide Crows,Collingwood Magpies,1992-05-17,1992,AAMI Stadium,True,64,69,0,0,-5,0
