match_id,season,round,match_date,venue,home_team,away_team,home_score,away_score,crowd,margin,result,home_win,home_form_win_rate_last3,home_form_avg_score_for_last3,home_form_avg_score_against_last3,home_form_avg_margin_last3,home_form_win_rate_last5,home_form_avg_score_for_last5,home_form_avg_score_against_last5,home_form_avg_margin_last5,home_form_win_rate_last10,home_form_avg_score_for_last10,home_form_avg_score_against_last10,home_form_avg_margin_last10,home_team_streak_entering_game,home_days_since_last_match,home_games_played_this_season,home_venue_experience,home_points_cum_prior,home_scored_cum_prior,home_conceded_cum_prior,home_percentage_prior,home_ladder_position_prior,home_h2h_win_rate_prior,home_h2h_games_played_prior,away_form_win_rate_last3,away_form_avg_score_for_last3,away_form_avg_score_against_last3,away_form_avg_margin_last3,away_form_win_rate_last5,away_form_avg_score_for_last5,away_form_avg_score_against_last5,away_form_avg_margin_last5,away_form_win_rate_last10,away_form_avg_score_for_last10,away_form_avg_score_against_last10,away_form_avg_margin_last10,away_team_streak_entering_game,away_days_since_last_match,away_games_played_this_season,away_venue_experience,away_points_cum_prior,away_scored_cum_prior,away_conceded_cum_prior,away_percentage_prior,away_ladder_position_prior,away_h2h_win_rate_prior,away_h2h_games_played_prior,form_win_rate_diff_last5,ladder_position_diff,rest_days_diff
19830326_MelbourneDemons,1983,1,1983-03-26,Melbourne Cricket Ground,Melbourne Demons,Collingwood Magpies,125,135,72274.0,-10,A,0.0,,,,,,,,,,,,,0.0,,0,0,0,0,0,100.0,1.0,,0,,,,,,,,,,,,,0.0,,0,0,0,0,0,100.0,1.0,,0,,0.0,
19830326_CarltonBlues,1983,1,1983-03-26,Princes Park,Carlton Blues,Richmond Tigers,136,76,28498.0,60,H,1.0,,,,,,,,,,,,,0.0,,0,0,0,0,0,100.0,1.0,,0,,,,,,,,,,,,,0.0,,0,0,0,0,0,100.0,1.0,,0,,0.0,
19830326_FitzroyLions,1983,1,1983-03-26,Junction Oval,Fitzroy Lions,Hawthorn Hawks,112,131,15626.0,-19,A,0.0,,,,,,,,,,,,,0.0,,0,0,0,0,0,100.0,1.0,,0,,,,,,,,,,,,,0.0,,0,0,0,0,0,100.0,1.0,,0,,0.0,
19830326_NorthMelbourneKangaroos,1983,1,1983-03-26,Aegis Park,North Melbourne Kangaroos,St Kilda Saints,100,87,18496.0,13,H,1.0,,,,,,,,,,,,,0.0,,0,0,0,0,0,100.0,1.0,,0,,,,,,,,,,,,,0.0,,0,0,0,0,0,100.0,1.0,,0,,0.0,
19830326_GeelongCats,1983,1,1983-03-26,Waverley Park,Geelong Cats,Western Bulldogs,106,75,18377.0,31,H,1.0,,,,,,,,,,,,,0.0,,0,0,0,0,0,100.0,1.0,,0,,,,,,,,,,,,,0.0,,0,0,0,0,0,100.0,1.0,,0,,0.0,
19830327_SydneySwans,1983,1,1983-03-27,Sydney Cricket Ground,Sydney Swans,Essendon Bombers,111,110,11916.0,1,H,1.0,,,,,,,,,,,,,0.0,,0,0,0,0,0,100.0,1.0,,0,,,,,,,,,,,,,0.0,,0,0,0,0,0,100.0,1.0,,0,,0.0,
19830402_RichmondTigers,1983,2,1983-04-02,Melbourne Cricket Ground,Richmond Tigers,Melbourne Demons,100,119,41889.0,-19,A,0.0,0.0,76.0,136.0,-60.0,0.0,76.0,136.0,-60.0,0.0,76.0,136.0,-60.0,-1.0,7.0,1,0,0,76,136,55.88235294117647,6.0,,0,0.0,125.0,135.0,-10.0,0.0,125.0,135.0,-10.0,0.0,125.0,135.0,-10.0,-1.0,7.0,1,1,0,125,135,92.5925925925926,4.0,,0,0.0,-2.0,0.0
19830402_CollingwoodMagpies,1983,2,1983-04-02,Victoria Park,Collingwood Magpies,Geelong Cats,96,101,34751.0,-5,A,0.0,1.0,135.0,125.0,10.0,1.0,135.0,125.0,10.0,1.0,135.0,125.0,10.0,1.0,7.0,1,0,4,135,125,108.0,3.0,,0,1.0,106.0,75.0,31.0,1.0,106.0,75.0,31.0,1.0,106.0,75.0,31.0,1.0,7.0,1,0,4,106,75,141.33333333333334,2.0,,0,0.0,-1.0,0.0
19830402_WesternBulldogs,1983,2,1983-04-02,Western Oval,Western Bulldogs,Carlton Blues,99,82,20414.0,17,H,1.0,0.0,75.0,106.0,-31.0,0.0,75.0,106.0,-31.0,0.0,75.0,106.0,-31.0,-1.0,7.0,1,0,0,75,106,70.75471698113208,5.0,,0,1.0,136.0,76.0,60.0,1.0,136.0,76.0,60.0,1.0,136.0,76.0,60.0,1.0,7.0,1,0,4,136,76,178.94736842105263,1.0,,0,-1.0,-4.0,0.0
19830404_EssendonBombers,1983,2,1983-04-04,Windy Hill,Essendon Bombers,St Kilda Saints,131,70,28071.0,61,H,1.0,0.0,110.0,111.0,-1.0,0.0,110.0,111.0,-1.0,0.0,110.0,111.0,-1.0,-1.0,8.0,1,0,0,110,111,99.09909909909909,4.0,,0,0.0,87.0,100.0,-13.0,0.0,87.0,100.0,-13.0,0.0,87.0,100.0,-13.0,-1.0,9.0,1,0,0,87,100,87.0,5.0,,0,0.0,1.0,-1.0
19830404_NorthMelbourneKangaroos,1983,2,1983-04-04,Waverley Park,North Melbourne Kangaroos,Fitzroy Lions,43,88,23788.0,-45,A,0.0,1.0,100.0,87.0,13.0,1.0,100.0,87.0,13.0,1.0,100.0,87.0,13.0,1.0,9.0,1,0,4,100,87,114.94252873563218,2.0,,0,0.0,112.0,131.0,-19.0,0.0,112.0,131.0,-19.0,0.0,112.0,131.0,-19.0,-1.0,9.0,1,0,0,112,131,85.49618320610686,6.0,,0,1.0,4.0,0.0
19830404_HawthornHawks,1983,2,1983-04-04,Princes Park,Hawthorn Hawks,Sydney Swans,70,45,16295.0,25,H,1.0,1.0,131.0,112.0,19.0,1.0,131.0,112.0,19.0,1.0,131.0,112.0,19.0,1.0,9.0,1,0,4,131,112,116.96428571428571,1.0,,0,1.0,111.0,110.0,1.0,1.0,111.0,110.0,1.0,1.0,111.0,110.0,1.0,1.0,8.0,1,0,4,111,110,100.9090909090909,3.0,,0,0.0,2.0,1.0
19830409_StKildaSaints,1983,3,1983-04-09,Moorabbin Oval,St Kilda Saints,Hawthorn Hawks,42,171,19227.0,-129,A,0.0,0.0,78.5,115.5,-37.0,0.0,78.5,115.5,-37.0,0.0,78.5,115.5,-37.0,-2.0,5.0,2,0,0,157,231,67.96536796536796,10.0,,0,1.0,100.5,78.5,22.0,1.0,100.5,78.5,22.0,1.0,100.5,78.5,22.0,2.0,5.0,2,0,8,201,157,128.02547770700636,1.0,,0,-1.0,-9.0,0.0
